MU_code,UID,year,effort,site_number,timesincelogging,timeframe,forest_type ,x,y,100m_buffer,200m_buffer,500m_buffer,1000m_buffer,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,frugivores,carnivores,omnivores,nectarivore,sanguinivore,diversity,A.centurio,A.concolor,A.glaucus,A.gnomus,A.lituratus,A.obscurus,A.planirostris,C.auritus,C.brevicauda,C.brevirostris,C.minor,C.perspicillata,C.trinitatum,C.villosum,D.gnoma,D.rotundus,E.auripendulus,G.daviesi,G.soricina,G.sylvestris,L.brasiliense,L.carrikeri,L.schulzi,L.silvicolum,L.spurrelli,L.thomasi,M.albescens,M.brosseti,M.crenulatum,M.hirsute,M.macconnelli,M.megalotis,M.microtis,M.minuta,P.discolor,P.elongatus,P.hastatus,P.helleri,P.leucoptera,P.parnellii,P.stenops,R.pumilio,S.bilineata,S.leptura,S.lilium,S.tildae,T.cirrhosus,T.nicefori,T.saurophila,U.bilobatum,V.bidens,V.pusilla
Control-1after,control-1,2013,432,1,1,post1,mora,295181,497630,0,0,0,0,0,0,0,0,3,5,2,1,0,0,11,0,0,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,1,2,0,1,0,0,0
Control-1after2,control-1,2021,382.5,2,10,post10,mora,295181,497630,0,0,0,0,0,0,0,0,2,5,1,0,1,0,9,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,0
Control-1before,control-1,2010,306,3,0,pre_logged,mora,295181,497630,0,0,0,0,0,0,0,0,1,6,1,0,0,0,8,0,2,0,2,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Control-2after,control-2,2013,324,4,1,post1,greenheart_mixed,294991,498708,0,0,0,0,0,0,0,0,1,4,2,0,0,0,7,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,1,0
Control-2after2,control-2,2021,315,5,10,post10,greenheart_mixed,294991,498708,0,0,0,0,0,0,0,0,1,6,1,0,0,0,8,0,0,0,0,4,2,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Control-2before,control-2,2010,306,6,0,pre_logged,greenheart_mixed,294991,498708,0,0,0,0,0,0,0,0,1,4,1,0,1,0,7,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
Control-3after2,control-3,2021,324,7,10,post10,mora_mixed,296143,498592,0,0,0,0,0,0,0,0,2,6,1,0,1,0,10,0,1,0,0,14,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Control-3before,control-3,2010,297,8,0,pre_logged,mora_mixed,296143,498592,0,0,0,0,0,0,0,0,2,9,1,1,2,1,16,0,1,0,1,2,2,2,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,1
Control-3after,control-3,2013,297,9,1,post1,mora_mixed,296143,498592,0,0,0,0,0,0,0,0,4,4,1,0,0,0,9,0,0,0,1,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E6-1Logged,E6-1,2013,324,10,1,post1,greenheart ,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71,3,6,0,1,1,0,11,0,0,0,0,6,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,0
E6-1Logged2,E6-1,2020,445.5,11,10,post10,greenheart ,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71,1,8,0,1,0,0,10,0,0,0,2,4,11,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
E6-1Plogged,E6-1,2009,432,12,0,pre_logged,greenheart ,310504,508982,0,0,0,0,0,0.19,0.35,0.71,3,9,1,2,0,0,15,0,0,0,1,9,3,7,1,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,9,0,0,0,1,0,0,0,2,1,0
