MU_code,UID,management_unit,year,effort,site_number,timeframe,timesincelogging,forest_type ,x,y,100m_buffer,200m_buffer,500m_buffer,1000m_buffer,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,granivores,frugivores,carnivores,omnivores,frugivore.insectivore,nectarivore,understory,mid.story,canopy,all,diversity,A.amazonica,A.ararauna,A.bicolor,A.chloropterus,A.cinnamomeus,A.dufresniana,A.farinosa,A.macao,A.spadiceus,B.capensis,B.chrysoptera,B.nitidus,C.alector,C.arada,C.brachyura,C.caeruleus,C.cayana,C.cinerascens,C.cinereus,C.cotinga,C.cyaneus,C.cyanoides,C.cyanus,C.elegans,C.flavus,C.gutturalis,C.haemorrhous,C.lineatus,C.melanoleucos,C.niger,C.rubricollis,C.soui,C.spiza,C.tyrannina,C.undatus,C.variegatus,Captio sp.,Ce.torquatus,Chlorestes sp.,Cyanerpes sp.,D.accipitrinus,D.certhia,D.fuliginosa,D.lineatus,D.longicauda,D.merula,D.picumnus,D.picus,D.pipra,D.rufigula,E.forficatus,E.gutturalis,F.analis,F.colma,F.grisea,F.nigricapillus,F.viridis,G.albirostris,G.dea,G.montana,G.rufigula,G.spirurus,G.varia,H.auritus,H.cantator,H.dorsimaculatus,H.macularius,H.melanopogon,H.militaris,H.muscicapinus,H.pectoralis,H.perrotii,H.stictocephalus,H.sticturus,H.thoracicus,I.americanus,I.cayanensis,I.plumbea,J.aureus,L.albolineatus,L.galeatus,L.hypopyrra,L.verreauxi,L.vociferans,M.atra,M.axillaris,M.barbatus,M.behni,M.brachyura,M.campanisona,M.cayanensis,M.ecaudatus,M.ferruginea,M.gilvicollis,M.guttata,M.leucophrys,M.longipennis,M.macconnelli,M.maculatus,M.menetriesii,M.mirandollei,M.momota,M.oleagineus,M.ruficollis,M.surinamensis,M.tuberculifer,M.ustulatus,My.torquata,N.chrysocephalum,N.griseus,N.leucopterus,N.macrorhynchos,N.nigrescens,N.rufipennis,N.tectus,O.gujanensis,O.inerme,O.motmot,P.albifrons,P.albus,P.aracari,P.caica,P.carnifex,P.coraya,P.coronatus,P.crepitans,P.decumanus,P.exilis,P.flavigula,P.fuscus,P.griseiceps,P.jacquacu,P.marail,P.menstruus,P.murina,P.picta,P.platyrhynchos,P.plumbea,P.ruber,P.saturatus,P.speciosa,P.subvinacea,P.superciliosus,P.tricolor,P.viridis,Pe.erythromelas,Ph.erythrocercum,Ph.melanocephalus,Pi.erythrocephala,Pi.melanocephalus,Pia.melanogaster,Platyrinchus sp.,R.melanurus,R.olivaceous,R.simplex,R.tucanus,R.vitellinus,S.griseicapillus,S.grossus,S.leucostigma,S.olivacea,S.piperivora,S.turdina,T.albicollis,T.ardesiacus,T.assimilis,T.caesius,T.chionurus,T.collaris,T.doliatus,T.elatus,T.erythrurus,T.fumigatus,T.furcata,T.huetii,T.leucomelas,T.major,T.melanurus,T.mexicana,T.murinus,T.poliocephalus,T.punctatus,T.purpuratus,T.rufus,T.spodioptila,T.surinamus,T.tao,T.violaceus,T.virdis,T.virescens,Ti.major,V.cassini,V.leucotis,V.olivaceous,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.punicea
Control-1Control After,control-1,control,2013,120,1,post1,1,mora,295181,497630,0,0,0,0,0,0,0,0,33,2,14,0,5,1,1,26,2,26,2,56,0,0,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,9,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0
Control-1Control Before,control-1,control,2021,145,2,pre_logged,0,mora,295181,497630,0,0,0,0,0,0,0,0,18,0,9,0,4,2,0,15,0,18,0,33,0,0,0,6,0,12,18,6,0,0,16,0,5,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,2,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,8,3,0,0,0,0,5,0,0,11,0,1,4,2,0,0,0,0,0,0,4,0,0,54,0,9,0,0,0,3,0,0,0,0,4,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,9,4,0,0,5,0,0,0,6,0,0,3,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,2,6,3,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,4,0,0,0,0,2,0,0,0,0,1,0,3,2,0,0,2,0
Control-1ControlAfter_2,control-1,control,2010,117,3,post10,10,mora,295181,497630,0,0,0,0,0,0,0,0,20,0,11,1,2,2,0,17,1,14,4,36,0,0,0,0,0,6,11,4,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,0,2,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,0
Control-2Control After,control-2,control,2013,130,4,post1,1,mixed,294991,498708,0,0,0,0,0,0,0,0,3,1,3,0,0,1,0,5,0,2,1,8,0,2,0,4,0,4,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control-2Control Before,control-2,control,2021,10,5,pre_logged,0,mixed,294991,498708,0,0,0,0,0,0,0,0,20,0,8,1,3,2,0,14,1,15,4,34,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control-2ControlAfter_2,control-2,control,2010,116,6,post10,10,mixed,294991,498708,0,0,0,0,0,0,0,0,17,2,10,1,3,0,0,16,1,14,2,33,0,0,0,0,0,10,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,0,9,3,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Control-3Control After,control-3,control,2021,120,7,pre_logged,0,mixed,296143,498592,0,0,0,0,0,0,0,0,18,1,7,1,3,1,0,14,1,14,2,31,0,0,0,0,0,6,10,0,3,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0
Control-3ControlAfter_2,control-3,control,2013,117,8,post10,10,mixed,296143,498592,0,0,0,0,0,0,0,0,19,1,9,1,4,1,0,19,0,14,2,35,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,6,0,7,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,22,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,5,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
E6-1Logged,E6-1,E6,2013,120,9,post1,1,greenheart,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71,30,2,12,0,3,1,1,25,1,20,3,49,0,0,0,6,0,3,0,0,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0,1,0,0,0,2,0,0,0,0,0,3,0,5,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,3,1,0,4,0,0,2,0,0,4,0,3,3,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
E6-1Logged_2,E6-1,E6,2020,129,10,post10,10,greenheart,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71,22,3,14,0,4,1,0,15,2,24,3,44,4,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,3,0,0,6,1,3,0,0,1,0,0,0,1,1,0,1,0,4,0,0,0,0,1,0,2,0,1,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,2,0,7,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0
