site_number,timeframe,A.centurio,A.concolor,A.glaucus,A.gnomus,A.lituratus,A.obscurus,A.planirostris,C.auritus,C.brevicauda,C.brevirostris,C.minor,C.perspicillata,C.trinitatum,C.villosum,D.gnoma,D.rotundus,E.auripendulus,G.daviesi,G.soricina,G.sylvestris,L.brasiliense,L.carrikeri,L.schulzi,L.silvicolum,L.spurrelli,L.thomasi,M.albescens,M.brosseti,M.crenulatum,M.hirsute,M.macconnelli,M.megalotis,M.microtis,M.minuta,P.discolor,P.elongatus,P.hastatus,P.helleri,P.leucoptera,P.parnellii,P.stenops,R.pumilio,S.bilineata,S.leptura,S.lilium,S.tildae,T.cirrhosus,T.nicefori,T.saurophila,U.bilobatum,V.bidens,V.pusilla
10,post1,0,0,0,0,18.51851852,12.34567901,18.51851852,0,0,0,3.086419753,3.086419753,0,0,0,0,0,0,0,0,6.172839506,0,0,9.259259259,0,0,0,0,0,0,0,0,0,0,0,15.43209877,0,0,0,0,0,18.51851852,0,0,0,0,0,0,9.259259259,0,3.086419753,0
11,post10,0,0,0,4.489337823,8.978675645,24.69135802,4.489337823,0,2.244668911,0,0,4.489337823,2.244668911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.244668911,0,0,0,0,0,0,2.244668911,0,0,0,0,0,11.22334456,0,0,0,0,0,0,0,0,0,0
12,pre_logged,0,0,0,2.314814815,20.83333333,6.944444444,16.2037037,2.314814815,0,0,0,4.62962963,0,0,0,0,0,11.57407407,0,0,2.314814815,0,0,0,0,0,0,0,2.314814815,0,0,0,0,0,0,9.259259259,0,0,0,0,6.944444444,20.83333333,0,0,0,2.314814815,0,0,0,4.62962963,2.314814815,0
13,post1,0,0,0,5.050505051,10.1010101,5.050505051,10.1010101,0,2.525252525,0,0,2.525252525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525252525,0,0,0,0,0,0,5.050505051,0,0,2.525252525,0,0,22.72727273,0,0,0,0,0,0,0,0,0,0
14,post10,0,0,0,0,0,6.587615283,2.195871761,2.195871761,0,0,0,2.195871761,0,0,0,0,0,0,8.783487044,0,0,0,0,2.195871761,0,0,0,0,0,0,4.391743522,0,0,0,0,4.391743522,0,0,0,0,0,10.97935881,0,0,0,0,0,0,2.195871761,0,0,0
15,pre_logged,0,0,0,11.57407407,53.24074074,9.259259259,37.03703704,0,0,0,0,18.51851852,0,0,0,0,0,0,0,0,6.944444444,0,0,0,6.944444444,0,0,0,4.62962963,0,4.62962963,0,0,0,0,2.314814815,4.62962963,0,0,0,0,16.2037037,0,0,0,0,0,0,0,4.62962963,2.314814815,0
16,post1,0,0,0,0,0,2.849002849,5.698005698,0,0,2.849002849,0,0,0,0,0,0,0,0,5.698005698,0,0,0,0,5.698005698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3960114,0,17.09401709,0,0,0,2.849002849,0,0,0,0,11.3960114,0
17,post10,0,0,0,2.314814815,0,0,6.944444444,0,0,0,0,6.944444444,0,0,0,0,0,0,6.944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.314814815,0,0,0,9.259259259,0,25.46296296,0,2.314814815,0,0,0,0,13.88888889,0,2.314814815,0
18,pre_logged,0,0,0,0,48.30917874,14.49275362,16.90821256,4.830917874,0,0,0,0,2.415458937,0,0,0,0,0,2.415458937,0,0,0,0,4.830917874,0,0,0,0,0,2.415458937,0,0,0,0,0,2.415458937,0,0,0,0,0,7.246376812,0,0,0,0,2.415458937,0,4.830917874,0,7.246376812,0
19,post1,0,0,0,2.314814815,0,2.314814815,6.944444444,2.314814815,0,0,0,6.944444444,0,0,0,0,0,0,0,0,0,0,2.314814815,4.62962963,0,0,0,0,2.314814815,0,0,0,2.314814815,0,0,0,0,0,0,6.944444444,0,16.2037037,0,0,0,0,2.314814815,0,2.314814815,4.62962963,9.259259259,0
20,post10,0,0,0,4.62962963,4.62962963,0,0,0,0,0,0,2.314814815,0,0,0,0,0,0,9.259259259,0,0,0,2.314814815,0,0,0,0,0,2.314814815,0,0,0,0,0,0,0,0,0,0,4.62962963,0,6.944444444,0,2.314814815,0,0,0,0,0,0,2.314814815,0
21,pre_logged,0,0,0,2.415458937,48.30917874,9.661835749,9.661835749,2.415458937,0,0,0,4.830917874,0,0,0,4.830917874,0,0,0,0,0,0,0,7.246376812,0,0,0,0,2.415458937,0,0,0,4.830917874,0,0,0,0,0,0,0,0,7.246376812,0,0,0,2.415458937,2.415458937,0,7.246376812,0,0,0
22,post1,0,0,0,0,6.172839506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086419753,0,0,0,0,0,0,0,0,0,0,3.086419753,0,0,3.086419753,0,0,0,9.259259259,0,21.60493827,0,0,0,0,0,0,0,0,0,0
23,post10,0,0,0,0,6.45994832,0,3.22997416,0,0,0,0,12.91989664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22997416,0,12.91989664,0,0,0,0,0,0,0,0,0,0
24,pre_logged,0,0,0,10.75268817,32.25806452,17.92114695,7.168458781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.584229391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.33691756,0,0,0,0,3.584229391,0,7.168458781,0,3.584229391,0
25,post1,0,0,0,0,2.604166667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.604166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,post10,0,0,0,3.086419753,9.259259259,9.259259259,6.172839506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086419753,0,0,0,0,0,0,3.086419753,0,0,0,0,0,3.086419753,0,0,0,0,0,0,0,0,0,0
27,pre_logged,0,0,0,0,9.259259259,9.259259259,0,2.314814815,0,0,2.314814815,0,6.944444444,2.314814815,0,4.62962963,0,0,0,0,0,0,0,9.259259259,0,0,0,0,2.314814815,0,2.314814815,0,4.62962963,0,0,0,0,0,0,0,0,25.46296296,0,0,0,0,0,0,2.314814815,0,2.314814815,0
28,post1,0,0,0,2.777777778,63.88888889,19.44444444,5.555555556,0,0,0,0,22.22222222,0,0,0,0,0,2.777777778,2.777777778,0,0,0,0,5.555555556,0,0,0,2.777777778,5.555555556,0,0,0,0,2.777777778,0,0,0,0,0,5.555555556,0,41.66666667,0,0,2.777777778,0,2.777777778,0,0,0,0,0
29,post10,0,0,0,0,0,4.62962963,2.314814815,0,0,0,0,20.83333333,2.314814815,0,0,0,0,0,11.57407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.314814815,0,16.2037037,2.314814815,0,0,0,0,0,2.314814815,0,2.314814815,0
30,pre_logged,0,4.357298475,0,0,30.50108932,23.96514161,8.71459695,0,0,0,2.178649237,4.357298475,2.178649237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.357298475,0,2.178649237,2.178649237,0,0,0,4.357298475,2.178649237,0,0,4.357298475,0,17.4291939,0,0,0,0,4.357298475,0,0,0,2.178649237,0
31,post1,3.086419753,0,0,3.086419753,6.172839506,3.086419753,0,0,0,0,0,12.34567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.172839506,0,0,0,0,0,0,3.086419753,0,3.086419753,0,0,0,18.51851852,0,0,0,0,0,0,0,0,6.172839506,0
