A.fimbriata,A.infuscatus,A.ochrolaemus,A.roraimae,A.rubiginosus,A.spadiceus,B.capensis,B.rivularis,C.aenea,C.arada,C.caeruleus,C.cinerascens,C.cyanoides,C.elegans,C.gutturalis,C.inda,C.largipennis,C.lineatus,C.mellisugus,C.mosquitus,C.notatus,C.spiza,C.talpacoti,C.tyrannina,C.ustulatus,C.variegatus,Co.torquatus,D.certhia,D.fuliginosa,D.longicauda,D.merula,D.picus,D.pipra,E.gutturalis,F.analis,F.colma,F.mellivora,F.viridis,G.albirostris,G.hirsutus,G.montana,G.rufigula,G.spirurus,H.cantator,H.flavicollis,H.leucosticta,H.macularius,H.melanopogon,H.muscicapinus,H.naevius,H.ochraceiceps,H.perrotii,L.albolineatus,L.fulvus,L.galeatus,L.hypopyrra,L.rufaxilla,L.verreauxi,L.vociferans,M.axillaris,M.barbatus,M.behni,M.ferruginea,M.gilvicollis,M.guttata,M.longipennis,M.macconnelli,M.menetriesii,M.momota,M.oleagineus,M.schisticolor,M.sulphureipygius,M.swainsoni,M.villosus,M.viridicata,M.watsonii,My.torquata,N.chrysocephalum,N.tectus,O.coronatus,O.inerme,P.albicollis,P.albifrons,P.augusti,P.carnifex,P.coronatus,P.crepitans,P.griseogularis,P.longuemareus,P.melanocephalus,P.platyrhynchos,P.pyrrhodes,P.ruber,P.ruficaudatum,P.saturatus,P.stellaris,P.striigularis,P.subvinacea,P.superciliosus,P.uropygialis,Pe.erythromelas,Ph.erythrocercum,Pi.erythrocephala,R.olivaceus,R.ruficauda,S.grossus,S.leucostigma,S.mexicanus,S.olivacea,S.rufigularis,S.turdina,T.albicollis,T.ardesiacus,T.caesius,T.chionurus,T.erythrurus,T.fumigatus,T.furcata,T.insignis,T.leucurus,T.melanurus,T.murinus,T.pella,T.punctatus,T.sulphurescens,T.surinamus,T.violaceus,T.virescens,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.promeropirhynchus
0,0,0,0,0,0,0,0,0,0,0,0,1.897533207,0,3.795066414,0,7.590132827,1.897533207,0,0,0,0,0,0,0,0,0,0,1.897533207,3.795066414,1.897533207,0,22.77039848,5.69259962,0,0,0,0,0,0,1.897533207,0,7.590132827,0,0,0,0,0,0,0,1.897533207,0,0,0,0,0,0,0,0,0,1.897533207,1.897533207,0,0,5.69259962,1.897533207,7.590132827,0,0,7.590132827,0,0,0,0,0,0,0,0,0,1.897533207,0,0,13.28273245,0,0,0,0,0,0,0,0,0,0,0,3.795066414,0,0,0,0,0,0,0,1.897533207,0,0,0,1.897533207,0,0,0,0,0,9.487666034,3.795066414,0,0,0,0,0,0,0,0,0,0,0,3.795066414,0,0,7.590132827,0,0,0,0,0
0,0,0,0,0,0,0,0,1.610305958,0,0,0,0,0,3.220611916,0,3.220611916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.647343,1.610305958,0,4.830917874,0,0,0,0,0,4.830917874,4.830917874,0,0,0,0,0,0,0,1.610305958,0,0,0,0,0,0,0,0,0,0,0,0,3.220611916,3.220611916,1.610305958,1.610305958,1.610305958,0,1.610305958,0,0,0,0,0,0,0,0,0,0,0,0,9.661835749,0,0,0,0,0,0,0,1.610305958,0,0,0,1.610305958,0,0,0,1.610305958,0,0,0,0,0,1.610305958,0,0,0,0,0,0,0,4.830917874,3.220611916,0,0,0,0,0,0,0,3.220611916,0,0,0,0,0,0,8.051529791,1.610305958,3.220611916,0,0,0
0,0,0,0,0,0,0,0,0,1.547987616,0,0,0,1.547987616,0,1.547987616,10.83591331,0,1.547987616,0,0,1.547987616,0,1.547987616,0,0,0,0,3.095975232,1.547987616,1.547987616,0,10.83591331,1.547987616,1.547987616,0,0,0,0,1.547987616,0,1.547987616,10.83591331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.095975232,0,0,0,0,0,7.73993808,4.643962848,7.73993808,0,1.547987616,0,0,0,0,0,0,4.643962848,0,0,0,0,0,13.93188854,0,1.547987616,0,0,0,0,0,1.547987616,0,1.547987616,0,0,0,3.095975232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.095975232,0,0,0,0,4.643962848,0,1.547987616,0,0,0,0,0,4.643962848,0,0,7.73993808,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633986928,0,4.901960784,0,0,0,0,0,0,0,0,0,0,0,4.901960784,3.267973856,1.633986928,0,6.535947712,3.267973856,1.633986928,0,0,0,0,0,0,3.267973856,8.169934641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633986928,0,0,0,4.901960784,14.70588235,11.4379085,0,0,8.169934641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.901960784,0,0,0,0,0,0,0,3.267973856,0,1.633986928,0,3.267973856,0,0,0,0,0,9.803921569,9.803921569,0,0,0,0,0,1.633986928,0,0,1.633986928,0,0,1.633986928,0,0,3.267973856,0,0,0,0,0
0,1.388888889,0,0,0,0,0,0,0,0,0,0,0,0,2.777777778,0,1.388888889,0,0,0,0,0,0,0,0,0,0,0,1.388888889,0,4.166666667,0,13.88888889,2.777777778,1.388888889,2.777777778,0,1.388888889,0,0,0,8.333333333,8.333333333,0,0,0,0,0,0,0,2.777777778,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,2.777777778,1.388888889,5.555555556,0,0,1.388888889,0,1.388888889,0,0,0,0,0,0,0,0,0,0,18.05555556,0,0,0,0,0,0,0,2.777777778,0,0,0,5.555555556,0,0,0,0,0,0,0,1.388888889,0,0,0,1.388888889,2.777777778,4.166666667,0,0,0,4.166666667,0,0,0,0,0,0,0,0,2.777777778,0,0,0,4.166666667,0,0,2.777777778,1.388888889,1.388888889,0,0,0
0,0,0,0,1.481481481,0,0,0,0,2.962962963,0,0,0,0,0,0,2.962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,1.481481481,0,14.81481481,0,0,0,0,0,0,0,0,1.481481481,7.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37037037,1.481481481,14.81481481,1.481481481,0,0,1.481481481,0,0,0,0,0,0,0,0,0,0,0,5.925925926,0,0,0,0,1.481481481,0,0,5.925925926,0,0,0,0,0,0,0,1.481481481,0,0,0,0,0,1.481481481,0,1.481481481,0,0,0,1.481481481,0,5.925925926,0,0,0,0,1.481481481,0,4.444444444,0,1.481481481,0,0,0,0,0,0,1.481481481,0,1.481481481,0,1.481481481,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316749585,0,0,0,0,0,1.658374793,0,0,0,0,0,0,0,1.658374793,0,0,0,13.26699834,1.658374793,0,3.316749585,0,0,0,0,1.658374793,0,9.950248756,1.658374793,1.658374793,0,0,0,0,0,4.975124378,0,0,0,0,0,0,0,0,8.291873964,6.633499171,0,0,0,9.950248756,9.950248756,0,3.316749585,0,3.316749585,0,0,0,0,0,0,0,0,0,0,0,0,1.658374793,0,0,0,0,0,0,0,3.316749585,0,0,0,0,0,0,0,4.975124378,0,0,0,0,0,0,0,0,0,0,0,1.658374793,0,6.633499171,9.950248756,0,0,0,0,0,0,0,1.658374793,0,0,0,4.975124378,0,0,4.975124378,0,0,0,3.316749585,0
0,0,0,0,0,0,0,0,0,3.121098627,0,0,0,0,3.121098627,0,0,0,0,0,0,0,0,0,0,0,0,0,1.560549313,0,0,0,14.04494382,4.68164794,1.560549313,1.560549313,0,0,0,0,0,0,14.04494382,3.121098627,0,0,1.560549313,0,0,0,3.121098627,0,0,0,0,0,0,0,0,0,0,3.121098627,0,0,6.242197253,3.121098627,14.04494382,9.36329588,0,0,3.121098627,0,0,3.121098627,0,0,0,0,0,0,0,0,9.36329588,0,0,0,0,0,0,0,1.560549313,0,0,0,1.560549313,0,0,0,0,0,0,0,0,0,0,0,0,1.560549313,1.560549313,0,0,0,3.121098627,3.121098627,0,0,0,0,0,0,0,4.68164794,0,0,0,3.121098627,0,0,3.121098627,6.242197253,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.564945227,1.564945227,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564945227,1.564945227,3.129890454,0,7.824726135,1.564945227,0,0,0,0,1.564945227,0,1.564945227,0,6.259780908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564945227,4.694835681,0,0,0,1.564945227,0,0,0,0,0,0,0,0,0,1.564945227,0,0,9.389671362,0,0,0,0,0,0,0,0,0,0,0,3.129890454,0,0,0,3.129890454,0,0,0,3.129890454,0,0,0,0,0,0,0,6.259780908,0,7.824726135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.259780908,1.564945227,1.564945227,0,1.564945227,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.220611916,0,0,0,0,0,0,0,0,0,0,0,0,0,3.220611916,0,1.610305958,1.610305958,0,0,1.610305958,0,0,0,0,0,4.830917874,1.610305958,3.220611916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.610305958,0,0,0,1.610305958,0,1.610305958,1.610305958,1.610305958,0,1.610305958,0,0,0,0,0,0,0,0,0,0,0,0,6.441223833,0,0,0,0,0,1.610305958,0,1.610305958,0,0,0,0,0,0,1.610305958,1.610305958,0,0,0,1.610305958,0,0,0,0,0,0,0,0,0,0,4.830917874,0,0,0,1.610305958,0,0,0,0,0,0,0,11.27214171,0,0,9.661835749,4.830917874,0,0,0,0
