site_number,timeframe,A.amazonica,A.ararauna,A.bicolor,A.chloropterus,A.cinnamomeus,A.dufresniana,A.farinosa,A.macao,A.spadiceus,B.capensis,B.chrysoptera,B.nitidus,C.alector,C.arada,C.brachyura,C.caeruleus,C.cayana,C.cinerascens,C.cinereus,C.cotinga,C.cyaneus,C.cyanoides,C.cyanus,C.elegans,C.flavus,C.gutturalis,C.haemorrhous,C.lineatus,C.melanoleucos,C.niger,C.rubricollis,C.soui,C.spiza,C.tyrannina,C.undatus,C.variegatus,Captio sp.,Ce.torquatus,Chlorestes sp.,Cyanerpes sp.,D.accipitrinus,D.certhia,D.fuliginosa,D.lineatus,D.longicauda,D.merula,D.picumnus,D.picus,D.pipra,D.rufigula,E.forficatus,E.gutturalis,F.analis,F.colma,F.grisea,F.nigricapillus,F.viridis,G.albirostris,G.dea,G.montana,G.rufigula,G.spirurus,G.varia,H.auritus,H.cantator,H.dorsimaculatus,H.macularius,H.melanopogon,H.militaris,H.muscicapinus,H.pectoralis,H.perrotii,H.stictocephalus,H.sticturus,H.thoracicus,I.americanus,I.cayanensis,I.plumbea,J.aureus,L.albolineatus,L.galeatus,L.hypopyrra,L.verreauxi,L.vociferans,M.atra,M.axillaris,M.barbatus,M.behni,M.brachyura,M.campanisona,M.cayanensis,M.ecaudatus,M.ferruginea,M.gilvicollis,M.guttata,M.leucophrys,M.longipennis,M.macconnelli,M.maculatus,M.menetriesii,M.mirandollei,M.momota,M.oleagineus,M.ruficollis,M.surinamensis,M.tuberculifer,M.ustulatus,My.torquata,N.chrysocephalum,N.griseus,N.leucopterus,N.macrorhynchos,N.nigrescens,N.rufipennis,N.tectus,O.gujanensis,O.inerme,O.motmot,P.albifrons,P.albus,P.aracari,P.caica,P.carnifex,P.coraya,P.coronatus,P.crepitans,P.decumanus,P.exilis,P.flavigula,P.fuscus,P.griseiceps,P.jacquacu,P.marail,P.menstruus,P.murina,P.picta,P.platyrhynchos,P.plumbea,P.ruber,P.saturatus,P.speciosa,P.subvinacea,P.superciliosus,P.tricolor,P.viridis,Pe.erythromelas,Ph.erythrocercum,Ph.melanocephalus,Pi.erythrocephala,Pi.melanocephalus,Pia.melanogaster,Platyrinchus sp.,R.melanurus,R.olivaceous,R.simplex,R.tucanus,R.vitellinus,S.griseicapillus,S.grossus,S.leucostigma,S.olivacea,S.piperivora,S.turdina,T.albicollis,T.ardesiacus,T.assimilis,T.caesius,T.chionurus,T.collaris,T.doliatus,T.elatus,T.erythrurus,T.fumigatus,T.furcata,T.huetii,T.leucomelas,T.major,T.melanurus,T.mexicana,T.murinus,T.poliocephalus,T.punctatus,T.purpuratus,T.rufus,T.spodioptila,T.surinamus,T.tao,T.violaceus,T.virdis,T.virescens,Ti.major,V.cassini,V.leucotis,V.olivaceous,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.punicea
1,post1,0,0,0,50,0,25,0,0,0,0,25,0,25,0,0,0,0,41.66666667,0,0,0,0,0,0,0,0,0,16.66666667,0,8.333333333,0,0,0,0,8.333333333,8.333333333,0,8.333333333,0,0,0,8.333333333,8.333333333,0,8.333333333,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,8.333333333,0,0,8.333333333,0,8.333333333,0,0,41.66666667,0,8.333333333,0,0,0,16.66666667,0,0,0,0,0,25,0,41.66666667,8.333333333,0,0,0,8.333333333,8.333333333,0,0,0,0,16.66666667,0,8.333333333,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,8.333333333,16.66666667,0,0,0,8.333333333,0,0,8.333333333,41.66666667,0,0,0,0,8.333333333,0,0,0,0,8.333333333,8.333333333,0,0,0,0,0,8.333333333,25,8.333333333,0,33.33333333,0,0,16.66666667,0,0,33.33333333,0,25,25,8.333333333,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,8.333333333,25,0,0,0,0,0,0,0,0,0
2,post10,31.00775194,0,0,15.50387597,0,46.51162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75968992,31.00775194,0,7.751937984,0,0,0,31.00775194,0,0,0,0,0,0,15.50387597,0,0,0,0,23.25581395,0,0,0,0,0,0,0,7.751937984,0,0,0,0,0,0,0,38.75968992,0,0,7.751937984,0,0,31.00775194,0,0,0,0,0,0,0,54.26356589,0,0,0,0,23.25581395,0,0,0,0,0,7.751937984,31.00775194,0,7.751937984,0,0,0,0,0,0,0,0,0,15.50387597,38.75968992,0,0,0,0,0,0,0,0,0,0,0,0,0,31.00775194,0,0,0,7.751937984,0,0,23.25581395,0,0,23.25581395,0,0,46.51162791,7.751937984,23.25581395,0,0,7.751937984,0,0,0,7.751937984,7.751937984,0,7.751937984,0,31.00775194,0,0,0,0,7.751937984,0,15.50387597,0,7.751937984,0,0,7.751937984,0,0,23.25581395,0,15.50387597,0,0,0,7.751937984,0,0,0,0,0,0,15.50387597,0,54.26356589,0,0,0,0,0,7.751937984,0,0,31.00775194,0,0,0,0,0,0,0,7.751937984,0,0,0
3,pre_logged,0,0,0,6.451612903,0,12.90322581,12.90322581,0,0,0,32.25806452,0,25.80645161,0,0,6.451612903,0,32.25806452,0,0,0,0,0,12.90322581,0,0,6.451612903,6.451612903,0,0,6.451612903,0,12.90322581,0,19.35483871,6.451612903,0,0,0,12.90322581,0,0,0,0,0,0,0,0,25.80645161,0,0,0,0,6.451612903,0,0,0,0,0,0,0,12.90322581,0,6.451612903,0,0,0,0,0,45.16129032,0,0,58.06451613,77.41935484,6.451612903,0,0,0,0,0,6.451612903,12.90322581,0,109.6774194,0,0,0,0,0,0,0,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,32.25806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.80645161,6.451612903,0,0,0,0,0,6.451612903,0,0,0,0,25.80645161,0,0,32.25806452,64.51612903,12.90322581,0,0,0,0,0,0,0,6.451612903,38.70967742,0,19.35483871,0,0,0,0,0,12.90322581,25.80645161,0,6.451612903,0,0,0,0,12.90322581,0,12.90322581,0,0,0,0,32.25806452,12.90322581,0,6.451612903,0,0,0,25.80645161,0,6.451612903,0,0,12.90322581,6.451612903,0,0,0,32.25806452,0,6.451612903,0,0,32.25806452,0,12.90322581,0,0,0,6.451612903,0
4,post1,0,0,0,75,0,12.5,0,25,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,25,0,12.5,0,12.5,12.5,0,12.5,25,0,0,25,0,0,0,0,12.5,0,0,25,0,0,0,0,12.5,50,0,0,0,25,12.5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,37.5,0,0,0,0,0,0,25,0,0,37.5,0,25,0,0,25,0,0,50,12.5,0,0,0,0,0,0,0,12.5,0,25,12.5,0,0,0,0,0,0,0,0,0,12.5,0,37.5,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
5,post10,25,0,0,12.5,0,37.5,18.75,0,25,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,25,25,12.5,18.75,0,0,0,6.25,6.25,0,0,6.25,0,0,12.5,0,0,0,31.25,12.5,0,0,0,0,0,0,6.25,6.25,0,0,0,0,31.25,0,0,6.25,0,6.25,6.25,0,0,12.5,6.25,0,12.5,0,12.5,0,0,43.75,0,0,0,0,6.25,0,0,0,0,12.5,6.25,25,6.25,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,18.75,12.5,0,0,6.25,0,0,0,12.5,0,31.25,0,0,0,0,12.5,50,0,0,0,0,0,0,6.25,0,0,12.5,6.25,25,0,0,0,0,12.5,43.75,12.5,0,0,6.25,0,0,0,0,31.25,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,56.25,0,0,0,18.75,0,0,0,12.5,43.75,50,18.75,0,0,0,0,0,0,0,0,0
6,pre_logged,0,0,0,12.5,0,6.25,56.25,0,0,0,0,0,25,0,0,0,0,18.75,0,0,0,0,0,6.25,12.5,0,0,25,0,12.5,0,0,25,0,25,12.5,0,31.25,0,0,50,6.25,0,0,0,0,0,0,31.25,0,0,0,18.75,12.5,0,0,0,0,12.5,0,6.25,6.25,0,6.25,0,0,0,0,0,12.5,0,6.25,18.75,18.75,0,31.25,0,0,6.25,0,0,0,0,156.25,0,0,0,0,0,0,6.25,0,12.5,0,25,0,25,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,12.5,25,0,0,81.25,0,0,6.25,0,0,6.25,0,12.5,0,0,12.5,37.5,6.25,0,0,0,6.25,0,0,0,0,25,0,68.75,0,0,0,0,6.25,6.25,6.25,0,0,0,0,25,0,0,6.25,18.75,12.5,25,0,0,6.25,18.75,0,0,18.75,0,0,43.75,0,43.75,0,0,0,6.25,6.25,0,0,0,0,25,6.25,0,0,0,25,0,12.5,0,12.5,0
7,post1,61.53846154,0,0,15.38461538,0,53.84615385,53.84615385,0,46.15384615,0,15.38461538,0,30.76923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07692308,0,0,0,0,0,15.38461538,7.692307692,30.76923077,0,0,0,0,15.38461538,0,0,0,0,0,0,0,7.692307692,0,0,0,7.692307692,7.692307692,0,0,0,0,0,0,7.692307692,0,0,0,7.692307692,0,15.38461538,0,0,46.15384615,0,0,23.07692308,0,0,0,0,0,7.692307692,0,7.692307692,0,0,30.76923077,0,7.692307692,0,0,0,0,0,0,7.692307692,0,38.46153846,0,7.692307692,0,0,0,0,30.76923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07692308,0,0,0,30.76923077,7.692307692,0,0,15.38461538,0,0,0,46.15384615,0,0,0,0,0,0,0,38.46153846,0,0,15.38461538,0,0,0,0,0,0,0,0,0,0,7.692307692,7.692307692,0,15.38461538,0,0,0,7.692307692,0,0,0,0,30.76923077,0,0,0,0,0,0,0,0,0,15.38461538,0,38.46153846,0,0,0,7.692307692,0,0,0,0,0,7.692307692,7.692307692,0,0,0,23.07692308,0,0,0,0,0
8,post10,0,0,0,75,0,75,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,12.5,12.5,0,0,0,12.5,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,37.5,0,25,0,0,37.5,0,0,25,0,12.5,0,0,0,12.5,0,0,0,0,25,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,50,0,0,0,0,0,0,25,0,0,12.5,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,37.5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,50,0,0,0,12.5,12.5,37.5,12.5,0,0,0,0,0,12.5,0,0,0
9,pre_logged,13.33333333,0,0,13.33333333,0,26.66666667,26.66666667,0,6.666666667,0,66.66666667,0,20,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,6.666666667,0,0,6.666666667,0,13.33333333,0,53.33333333,6.666666667,0,0,0,0,0,6.666666667,0,0,0,6.666666667,0,0,20,0,0,0,6.666666667,6.666666667,6.666666667,0,0,0,0,6.666666667,0,13.33333333,0,0,0,0,13.33333333,0,0,0,0,6.666666667,26.66666667,20,0,0,0,0,0,0,0,0,0,66.66666667,0,6.666666667,0,0,0,0,0,0,0,6.666666667,26.66666667,0,6.666666667,0,0,0,0,0,0,0,6.666666667,0,20,0,6.666666667,0,0,0,0,0,6.666666667,0,0,0,0,0,6.666666667,6.666666667,13.33333333,0,0,53.33333333,6.666666667,0,0,13.33333333,0,0,0,0,0,0,20,6.666666667,0,0,0,6.666666667,0,0,33.33333333,13.33333333,0,6.666666667,0,20,0,0,0,0,6.666666667,33.33333333,46.66666667,0,0,0,0,0,20,13.33333333,40,6.666666667,13.33333333,13.33333333,0,0,6.666666667,0,0,6.666666667,0,0,0,6.666666667,0,13.33333333,0,0,0,13.33333333,0,0,0,20,0,6.666666667,0,0,0,0,26.66666667,6.666666667,0,0,13.33333333,0
10,post1,18.18181818,0,0,0,0,9.090909091,45.45454545,0,0,0,18.18181818,0,0,0,0,18.18181818,0,27.27272727,0,0,0,0,0,0,0,0,0,27.27272727,18.18181818,18.18181818,0,0,18.18181818,0,18.18181818,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,27.27272727,9.090909091,0,0,0,0,0,27.27272727,0,9.090909091,0,0,18.18181818,0,36.36363636,0,0,0,0,9.090909091,0,0,9.090909091,0,0,0,0,0,18.18181818,0,0,109.0909091,0,9.090909091,0,0,0,0,0,0,18.18181818,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,90.90909091,18.18181818,0,0,18.18181818,0,0,0,0,0,0,9.090909091,18.18181818,0,0,0,0,36.36363636,0,0,18.18181818,0,0,9.090909091,0,0,0,0,0,9.090909091,18.18181818,0,0,9.090909091,0,0,0,0,0,9.090909091,0,27.27272727,9.090909091,0,0,9.090909091,0,0,0,0,0,0,9.090909091,0,45.45454545,0,0,18.18181818,18.18181818,0,18.18181818,0,0,0,45.45454545,0,0,0,0,63.63636364,0,0,0,9.090909091,0
